date,comment_num,like_num,Subjuctivity,Polarity,Class_sentiment_negative,Class_sentiment_neutral,Class_sentiment_positive,total_count_tweet,Open,Close,change,Class_target
2017-10-31,151,886,166.08527272727272,48.27058495670995,48,190,213,1547,21.348667,22.101999,3.5772243880088586,1.0
2017-11-01,638,3420,473.02422526547525,111.82117514430014,242,774,538,2523,22.15,21.405333,-3.1520497308863353,-1.0
2017-11-02,603,2545,515.228325998076,90.84140824915823,311,737,529,2438,20.008667,19.950666,-6.7958157903920515,-1.0
2017-11-03,218,1076,221.50248015873012,54.28531655844156,109,301,248,2282,19.966667,20.406,2.282299748790344,1.0
2017-11-04,106,456,67.61025853775854,18.31435606060606,35,121,84,438,19.966667,20.406,2.282299748790344,1.0
2017-11-05,76,455,62.095221537721535,20.40593795093795,15,106,85,343,19.966667,20.406,2.282299748790344,1.0
2017-11-06,151,675,145.15456204906204,35.08059126984127,68,180,182,577,20.466667,20.185333,-1.0813829265902128,-1.0
2017-11-07,157,756,138.6488161976912,36.15839880952381,78,226,155,668,20.068001,20.403334,1.0799970453794396,1.0
2017-11-08,87,441,90.14121452621453,19.220882034632037,46,144,105,436,20.366667,20.292667,-0.5423966494887522,-1.0
2017-11-09,110,612,101.33728805916306,29.397232142857145,49,159,127,490,20.166668,20.199333,-0.45993954367852313,-1.0
2017-11-10,119,637,122.24049147017004,34.62811095253952,56,178,147,543,20.166668,20.199333,0.0,0.0
2017-11-11,64,365,52.01872113997114,20.60661435786436,26,100,65,376,20.166668,20.199333,0.0,0.0
2017-11-12,87,542,67.701488997114,23.59273118085618,22,81,82,318,20.166668,20.199333,0.0,0.0
2017-11-13,204,1150,216.10810640417785,64.95989344980416,80,312,276,1024,20.008667,21.026667,4.095848115380842,1.0
2017-11-14,122,719,143.07333453583453,36.13363997113997,75,227,169,759,21.0,20.58,-2.124288171777303,-1.0
2017-11-15,192,955,170.72382143782144,48.08004499667,79,248,212,721,20.400667,20.753332,0.8422351797862102,1.0
2017-11-16,238,1097,196.5782948532949,54.56823683261183,71,292,243,924,20.932667,20.833332,0.38548026890331777,1.0
2017-11-17,1029,6541,761.4021395086395,191.68329413179413,341,784,963,5329,21.711332,21.003332,0.8160000522240116,1.0
2017-11-18,197,893,148.02113846801348,45.01715818903318,52,165,217,677,21.711332,21.003332,0.8160000522240116,1.0
2017-11-19,187,987,117.34513528138528,33.27896915584416,42,127,146,625,21.711332,21.003332,0.8160000522240116,1.0
2017-11-20,197,918,198.1587968975469,44.912853535353534,86,225,248,817,20.919333,20.582666,-2.0028536424601615,-1.0
2017-11-21,263,1607,213.0780584798799,61.81710899814471,81,245,278,1027,20.724001,21.187332,2.937743827743217,1.0
