Date,Open,High,Low,Close,Adj Close,Volume,change,Class_target
2018-09-05,19.003332,19.118668,18.478666,18.716,18.716,115812000,-2.841315303084624,-1
2018-09-06,18.986668,19.411333,18.591999,18.73,18.73,112212000,0.0748023081855062,1
2018-09-07,17.34,17.889999,16.816668,17.549334,17.549334,337378500,-6.303609183128664,-1
2018-09-10,18.217333,19.068666,18.066668,19.033333,19.033333,214252500,8.45615565810074,1
2018-09-11,18.631332,18.799999,18.236668,18.629333,18.629333,137550000,-2.122591981131208,-1
2018-09-12,18.762667,19.5,18.576668,19.369333,19.369333,150231000,3.972230245709828,1
2018-09-13,19.201332,19.666668,19.011999,19.297333,19.297333,95104500,-0.3717216282047643,-1
2018-09-14,19.250668,19.822001,19.101334,19.68,19.68,101484000,1.9830045944690984,1
2018-09-17,19.336,20.058001,19.208668,19.656,19.656,103314000,-0.1219512195121997,-1
2018-09-18,19.779333,20.176001,18.366667,18.997334,18.997334,248212500,-3.3509666259666275,-1
2018-09-19,18.700666,20.0,18.700001,19.934668,19.934668,124423500,4.934029164302738,1
2018-09-20,20.237333,20.398666,19.555332,19.888666,19.888666,110241000,-0.2307638130717696,-1
2018-09-21,19.846666,20.038668,19.691334,19.940001,19.940001,75757500,0.2581118311303439,1
2018-09-24,19.898666,20.200001,19.572001,19.978666,19.978666,72645000,0.193906710435981,1
2018-09-25,20.0,20.306667,19.766666,20.066,20.066,67225500,0.4371362932840384,1
2018-09-26,20.127333,20.926001,20.073999,20.638666,20.638666,117648000,2.8539120901026696,1
2018-09-27,20.860001,20.997334,20.460667,20.501333,20.501333,127636500,-0.6654160690424551,-1
2018-09-28,18.017332,18.533333,17.370667,17.651333,17.651333,504745500,-13.901535085547842,-1
2018-10-01,20.384666,20.762667,20.07,20.713333,20.713333,326664000,17.34713180018754,1
2018-10-02,20.93,21.122667,19.943333,20.068001,20.068001,176152500,-3.115539155383636,-1
2018-10-03,20.222,20.306667,19.438,19.653334,19.653334,119925000,-2.066309444572969,-1
2018-10-04,19.596666,19.6,18.511333,18.788668,18.788668,147213000,-4.399589402999001,-1
2018-10-05,18.309999,18.325333,17.333332,17.463333,17.463333,269167500,-7.053906109789169,-1
2018-10-08,17.634666,17.850668,16.6,16.704,16.704,202090500,-4.348156219663212,-1
2018-10-09,17.016666,17.784666,16.886667,17.52,17.52,180909000,4.8850574712643615,1
2018-10-10,17.640667,17.700666,16.518,17.125334,17.125334,192229500,-2.252659817351603,-1
2018-10-11,17.168667,17.483334,16.601999,16.815332,16.815332,122515500,-1.8101953515183835,-1
2018-10-12,17.4,17.466,16.800667,17.252001,17.252001,108021000,2.5968503030448544,1
2018-10-15,17.270666,17.552,16.969334,17.306,17.306,93000000,0.3130013730001582,1
2018-10-16,17.713333,18.492001,17.482668,18.439333,18.439333,142896000,6.548786548018031,1
2018-10-17,18.826668,18.846666,17.719999,18.118668,18.118668,129832500,-1.7390271112301174,-1
2018-10-18,17.952667,18.066668,17.533333,17.594,17.594,81318000,-2.895731628837166,-1
2018-10-19,17.826,17.977333,16.9,17.333332,17.333332,140632500,-1.4815732636126095,-1
2018-10-22,17.378668,17.457333,16.839333,17.396667,17.396667,84004500,0.3653942588764938,1
2018-10-23,17.591333,19.862,17.473333,19.609333,19.609333,285417000,12.718907593046408,1
2018-10-24,20.07,20.296,19.048668,19.233334,19.233334,300874500,-1.9174492064569468,-1
2018-10-25,21.148001,21.4,20.067333,20.990667,20.990667,312610500,9.136913028183251,1
2018-10-26,20.549999,22.66,20.443333,22.059999,22.059999,411382500,5.094321204752584,1
2018-10-29,22.497999,23.143999,21.766666,22.323334,22.323334,217290000,1.193721722290186,1
2018-10-30,21.892668,22.526667,21.483999,21.993334,21.993334,136900500,-1.4782738098171102,-1
2018-10-31,22.169333,22.799999,21.940001,22.488001,22.488001,114364500,2.2491678614983965,1
2018-11-01,22.550667,23.189333,22.315332,22.952,22.952,120001500,2.063318122406705,1
2018-11-02,22.916,23.280001,22.727333,23.094,23.094,117120000,0.6186824677587985,1
2018-11-05,22.700001,22.930668,22.009333,22.76,22.76,117465000,-1.4462630986403378,-1
2018-11-06,22.604668,23.253332,22.406,22.737333,22.737333,101443500,-0.0995913884007117,-1
2018-11-07,22.889334,23.412001,22.719999,23.210667,23.210667,110617500,2.081748110035602,1
2018-11-08,23.233334,23.838667,23.229334,23.426666,23.426666,106360500,0.9306022959185104,1
2018-11-09,23.266666,23.6,23.015333,23.367332,23.367332,76482000,-0.2532754767579807,-1
2018-11-12,23.224667,23.318666,22.022667,22.085333,22.085333,104122500,-5.486287437521761,-1
2018-11-13,22.210667,22.98,22.146667,22.582001,22.582001,81729000,2.248859005204962,1
2018-11-14,22.846666,23.140667,22.476667,22.933332,22.933332,75604500,1.555801011610965,1
2018-11-15,22.822001,23.238667,22.602667,23.229334,23.229334,69385500,1.2907064703899174,1
2018-11-16,23.012667,23.713333,23.007999,23.620667,23.620667,108093000,1.6846501066281083,1
2018-11-19,23.756001,24.450001,23.525333,23.564667,23.564667,145633500,-0.2370805193604437,-1
2018-11-20,22.783333,23.32,22.236668,23.166,23.166,120070500,-1.6917998459303485,-1
2018-11-21,23.466667,23.540001,22.493334,22.546,22.546,70302000,-2.676336009669347,-1
2018-11-23,22.290001,22.5,21.703333,21.722,21.722,63039000,-3.654750288299468,-1
2018-11-26,21.666668,23.081333,21.666668,23.066668,23.066668,119881500,6.190350796427578,1
2018-11-27,22.67,23.130667,22.366667,22.927999,22.927999,95374500,-0.6011661502216105,-1
2018-11-28,23.066,23.218666,22.813999,23.191334,23.191334,61914000,1.1485302315304595,1
2018-11-29,23.133333,23.166668,22.636667,22.744667,22.744667,46210500,-1.9260082235890417,-1
2018-11-30,22.788668,23.440001,22.550667,23.365334,23.365334,84436500,2.728846282955037,1
2018-12-03,24.0,24.4,23.466667,23.899332,23.899332,124597500,2.2854284899158746,1
2018-12-04,23.736668,24.578667,23.466667,23.98,23.98,126928500,0.3375324465135648,1
2018-12-06,23.733999,24.492001,23.384001,24.204,24.204,117637500,0.934111759799834,1
2018-12-07,24.6,25.299334,23.843332,23.864668,23.864668,172668000,-1.40196661708808,-1
